0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
22.0,23.0,27.0,13.0,63.0,28.0,11.0,80.0,55.0,12.0,21.0,7.0,57.0,24.0,15.0,9.0,8.0,36.0,12.0,16.0,5.0,11.0,9.0,41.0,13.0,32.0,21.0,36.0,16.0,12.0,25.0,5.0,25.0,7.0,0.0,6.0,4.0,3.0,20.0,5.0,5.0,2.0,12.0,17.0,14.0,14.0,16.0,4.0,11.0,3.0
23.0,54.0,8.0,23.0,31.0,37.0,31.0,19.0,21.0,13.0,29.0,13.0,35.0,10.0,9.0,7.0,11.0,8.0,28.0,9.0,18.0,10.0,12.0,24.0,7.0,7.0,17.0,16.0,6.0,3.0,12.0,5.0,24.0,7.0,0.0,4.0,13.0,26.0,11.0,15.0,12.0,12.0,4.0,4.0,15.0,9.0,4.0,5.0,8.0,8.0
36.0,21.0,84.0,33.0,43.0,23.0,4.0,15.0,32.0,42.0,17.0,31.0,11.0,29.0,26.0,38.0,16.0,73.0,15.0,17.0,39.0,34.0,27.0,32.0,15.0,3.0,16.0,12.0,3.0,4.0,12.0,4.0,15.0,1.0,11.0,17.0,11.0,3.0,12.0,0.0,1.0,3.0,5.0,26.0,10.0,11.0,61.0,1.0,24.0,6.0
7.0,6.0,12.0,16.0,21.0,19.0,7.0,44.0,21.0,8.0,78.0,5.0,108.0,30.0,6.0,1.0,11.0,1.0,4.0,33.0,4.0,58.0,15.0,12.0,7.0,12.0,25.0,25.0,12.0,12.0,2.0,4.0,27.0,7.0,0.0,3.0,0.0,0.0,16.0,0.0,8.0,0.0,10.0,4.0,12.0,22.0,0.0,3.0,4.0,4.0
53.0,23.0,11.0,29.0,5.0,12.0,3.0,9.0,18.0,90.0,32.0,12.0,3.0,18.0,61.0,12.0,13.0,5.0,35.0,21.0,10.0,16.0,2.0,7.0,6.0,12.0,31.0,5.0,5.0,4.0,4.0,66.0,15.0,8.0,144.0,8.0,20.0,2.0,8.0,5.0,40.0,4.0,4.0,8.0,5.0,2.0,3.0,7.0,1.0,7.0
35.0,33.0,18.0,17.0,57.0,29.0,17.0,31.0,43.0,26.0,36.0,9.0,38.0,27.0,31.0,7.0,17.0,28.0,19.0,18.0,10.0,25.0,14.0,21.0,12.0,18.0,8.0,25.0,24.0,15.0,27.0,15.0,16.0,13.0,6.0,8.0,11.0,4.0,16.0,9.0,19.0,4.0,7.0,11.0,13.0,2.0,11.0,7.0,9.0,7.0
54.0,27.0,18.0,39.0,33.0,53.0,17.0,42.0,52.0,17.0,29.0,10.0,18.0,19.0,11.0,16.0,23.0,10.0,22.0,7.0,7.0,4.0,9.0,17.0,13.0,3.0,6.0,7.0,7.0,1.0,7.0,8.0,13.0,12.0,0.0,7.0,3.0,13.0,14.0,27.0,14.0,12.0,2.0,12.0,11.0,3.0,3.0,36.0,6.0,7.0
14.0,7.0,9.0,9.0,3.0,6.0,4.0,6.0,8.0,39.0,27.0,10.0,1.0,13.0,90.0,18.0,43.0,22.0,34.0,8.0,6.0,18.0,1.0,4.0,2.0,15.0,30.0,0.0,0.0,11.0,0.0,144.0,6.0,0.0,62.0,6.0,27.0,1.0,6.0,3.0,25.0,3.0,5.0,4.0,5.0,9.0,13.0,3.0,1.0,17.0
53.0,32.0,30.0,36.0,43.0,30.0,5.0,22.0,17.0,27.0,21.0,14.0,13.0,13.0,37.0,25.0,20.0,20.0,10.0,10.0,11.0,12.0,11.0,12.0,11.0,15.0,6.0,6.0,4.0,17.0,3.0,8.0,8.0,7.0,6.0,0.0,14.0,9.0,13.0,15.0,8.0,7.0,2.0,12.0,4.0,4.0,11.0,9.0,6.0,4.0
43.0,26.0,14.0,37.0,8.0,19.0,10.0,3.0,10.0,53.0,12.0,51.0,5.0,18.0,28.0,29.0,18.0,15.0,13.0,6.0,16.0,16.0,7.0,11.0,4.0,1.0,3.0,4.0,13.0,11.0,0.0,20.0,11.0,3.0,27.0,14.0,52.0,6.0,6.0,3.0,45.0,2.0,3.0,16.0,3.0,5.0,6.0,4.0,3.0,7.0
20.0,73.0,8.0,18.0,41.0,69.0,24.0,12.0,7.0,17.0,10.0,20.0,0.0,3.0,2.0,6.0,9.0,11.0,43.0,13.0,6.0,0.0,4.0,18.0,11.0,4.0,1.0,3.0,26.0,3.0,0.0,2.0,4.0,13.0,1.0,9.0,6.0,44.0,9.0,9.0,3.0,24.0,5.0,1.0,11.0,0.0,7.0,10.0,7.0,1.0
34.0,18.0,37.0,19.0,55.0,37.0,28.0,40.0,43.0,28.0,51.0,8.0,44.0,20.0,29.0,14.0,3.0,34.0,17.0,9.0,4.0,14.0,13.0,32.0,19.0,6.0,19.0,20.0,11.0,12.0,16.0,8.0,16.0,14.0,6.0,13.0,6.0,9.0,6.0,6.0,10.0,4.0,7.0,17.0,14.0,15.0,16.0,5.0,7.0,4.0
46.0,44.0,7.0,31.0,31.0,61.0,17.0,14.0,23.0,9.0,16.0,12.0,12.0,9.0,2.0,6.0,17.0,8.0,20.0,3.0,5.0,8.0,8.0,24.0,7.0,8.0,5.0,5.0,15.0,0.0,0.0,5.0,9.0,27.0,3.0,15.0,3.0,9.0,6.0,2.0,9.0,22.0,2.0,18.0,20.0,4.0,7.0,35.0,3.0,3.0
49.0,37.0,13.0,14.0,12.0,18.0,22.0,23.0,29.0,57.0,41.0,12.0,12.0,17.0,17.0,13.0,14.0,2.0,18.0,19.0,12.0,7.0,12.0,16.0,8.0,6.0,5.0,5.0,12.0,1.0,8.0,40.0,19.0,14.0,25.0,8.0,45.0,3.0,10.0,9.0,20.0,6.0,4.0,9.0,5.0,3.0,2.0,13.0,4.0,5.0
45.0,58.0,33.0,16.0,26.0,41.0,10.0,24.0,9.0,27.0,8.0,32.0,1.0,16.0,2.0,29.0,15.0,8.0,18.0,5.0,18.0,1.0,20.0,15.0,3.0,2.0,0.0,2.0,12.0,3.0,0.0,4.0,4.0,12.0,3.0,7.0,2.0,24.0,4.0,22.0,6.0,2.0,5.0,5.0,5.0,2.0,4.0,15.0,22.0,1.0
16.0,11.0,20.0,20.0,12.0,8.0,19.0,15.0,23.0,26.0,20.0,9.0,27.0,8.0,7.0,6.0,6.0,8.0,4.0,10.0,7.0,13.0,14.0,7.0,9.0,5.0,12.0,12.0,4.0,5.0,10.0,4.0,7.0,2.0,5.0,2.0,3.0,5.0,7.0,2.0,4.0,5.0,4.0,4.0,7.0,12.0,3.0,5.0,4.0,3.0
24.0,33.0,42.0,24.0,41.0,36.0,14.0,16.0,59.0,33.0,26.0,18.0,12.0,14.0,15.0,27.0,15.0,32.0,4.0,14.0,27.0,11.0,15.0,35.0,29.0,8.0,8.0,17.0,4.0,26.0,4.0,8.0,11.0,12.0,4.0,12.0,16.0,1.0,17.0,18.0,9.0,5.0,4.0,28.0,3.0,2.0,11.0,7.0,6.0,3.0
26.0,34.0,8.0,9.0,39.0,37.0,16.0,44.0,17.0,11.0,44.0,6.0,26.0,18.0,11.0,8.0,9.0,10.0,17.0,17.0,4.0,8.0,6.0,22.0,12.0,7.0,6.0,14.0,15.0,10.0,12.0,5.0,13.0,11.0,5.0,4.0,3.0,11.0,14.0,20.0,5.0,5.0,7.0,3.0,0.0,9.0,4.0,11.0,6.0,10.0
9.0,17.0,5.0,13.0,24.0,11.0,16.0,8.0,20.0,5.0,28.0,6.0,46.0,11.0,17.0,1.0,14.0,6.0,10.0,16.0,0.0,27.0,3.0,14.0,6.0,1.0,35.0,14.0,9.0,11.0,22.0,2.0,2.0,3.0,9.0,4.0,5.0,0.0,15.0,4.0,3.0,2.0,12.0,2.0,9.0,10.0,7.0,3.0,1.0,3.0
32.0,14.0,95.0,13.0,49.0,7.0,1.0,17.0,28.0,51.0,12.0,11.0,8.0,32.0,16.0,37.0,16.0,142.0,4.0,3.0,24.0,14.0,8.0,18.0,8.0,1.0,8.0,16.0,4.0,61.0,0.0,3.0,11.0,3.0,13.0,11.0,6.0,7.0,16.0,7.0,2.0,4.0,3.0,11.0,4.0,7.0,32.0,0.0,12.0,7.0
51.0,34.0,22.0,42.0,21.0,29.0,10.0,32.0,18.0,14.0,22.0,17.0,8.0,21.0,7.0,8.0,14.0,4.0,19.0,1.0,8.0,5.0,6.0,10.0,7.0,10.0,6.0,4.0,5.0,1.0,3.0,7.0,7.0,36.0,3.0,9.0,4.0,10.0,5.0,35.0,13.0,15.0,5.0,7.0,11.0,3.0,0.0,4.0,4.0,6.0
31.0,38.0,102.0,65.0,17.0,27.0,7.0,11.0,18.0,42.0,20.0,45.0,14.0,10.0,2.0,33.0,5.0,23.0,4.0,6.0,53.0,7.0,47.0,10.0,7.0,1.0,5.0,11.0,8.0,24.0,4.0,1.0,9.0,6.0,1.0,6.0,3.0,7.0,7.0,3.0,4.0,22.0,4.0,6.0,6.0,1.0,12.0,4.0,2.0,6.0
41.0,13.0,23.0,22.0,9.0,8.0,3.0,49.0,11.0,24.0,27.0,4.0,6.0,9.0,23.0,12.0,7.0,14.0,5.0,7.0,11.0,3.0,15.0,3.0,6.0,18.0,13.0,3.0,8.0,6.0,4.0,7.0,7.0,7.0,17.0,4.0,7.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0,10.0,3.0,7.0,6.0,6.0,8.0
